                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75841,                 3.0367,                 1.1864,                0.68503,                 0.5422,                0.69548,                0.50617,                 1.5652,                 1.6132,                 1.3486,                      0,                      0,                      0
                      2,                 1.1148,                  2.598,                 1.3676,                0.89197,                0.52504,                0.73157,                0.51129,                 1.5448,                 1.5805,                 1.3326,             1.1664e-06,             1.1664e-06,             1.1664e-06
                      3,                 1.1802,                 2.5661,                 1.3675,                0.90488,                0.52406,                0.73748,                0.51806,                 1.5304,                  1.566,                 1.3213,             2.2858e-06,             2.2858e-06,             2.2858e-06
                      4,                 1.2789,                  2.866,                 1.5879,                0.90799,                0.53222,                0.73725,                0.51514,                 1.5163,                 1.5439,                  1.308,             3.3579e-06,             3.3579e-06,             3.3579e-06
                      5,                 1.1984,                 2.4045,                 1.5346,                0.91081,                0.54144,                 0.7484,                0.52013,                  1.492,                 1.5458,                 1.2983,              4.383e-06,              4.383e-06,              4.383e-06
                      6,                0.72402,                 2.9836,                 1.2295,                0.91232,                0.54908,                0.74924,                0.54971,                 1.5179,                 1.5652,                 1.3028,             5.3609e-06,             5.3609e-06,             5.3609e-06
                      7,                 1.1687,                 3.0948,                 1.4856,                0.91059,                   0.55,                0.75109,                0.55073,                 1.5338,                 1.6221,                 1.3057,             6.2918e-06,             6.2918e-06,             6.2918e-06
                      8,                 1.1369,                 2.9594,                 1.4402,                0.92123,                   0.55,                0.75112,                0.54516,                 1.5383,                 1.6639,                 1.3114,             7.1755e-06,             7.1755e-06,             7.1755e-06
                      9,                 1.1323,                 2.6355,                 1.2863,                0.92833,                   0.55,                0.75221,                0.53997,                 1.5556,                 1.7151,                 1.3207,              8.012e-06,              8.012e-06,              8.012e-06
                     10,                 1.1129,                 3.3009,                 1.4002,                0.93356,                0.54954,                0.75344,                0.52306,                 1.5563,                 1.7826,                 1.3315,             8.8015e-06,             8.8015e-06,             8.8015e-06
                     11,                0.90228,                 2.1297,                 1.2397,                 0.9387,                   0.55,                0.75201,                0.52262,                 1.5603,                 1.8598,                 1.3497,             9.5438e-06,             9.5438e-06,             9.5438e-06
                     12,                 1.7739,                 3.1221,                 2.2489,                0.92942,                   0.55,                0.70873,                0.52402,                 1.5653,                 1.8815,                 1.3546,             1.0239e-05,             1.0239e-05,             1.0239e-05
                     13,                 1.1553,                  2.154,                 1.5527,                 0.9066,                   0.55,                0.70855,                0.51626,                 1.5428,                 1.8928,                 1.3498,             1.0887e-05,             1.0887e-05,             1.0887e-05
                     14,                0.99902,                 1.9602,                 1.3796,                0.89578,                   0.55,                 0.6574,                0.50999,                 1.5259,                 1.9122,                 1.3431,             1.1488e-05,             1.1488e-05,             1.1488e-05
                     15,                 1.0547,                 2.9576,                 1.5147,                0.87606,                   0.55,                0.66179,                0.50935,                 1.5196,                 1.9662,                 1.3398,             1.2042e-05,             1.2042e-05,             1.2042e-05
                     16,                 1.2828,                 2.7061,                 1.5047,                0.86128,                0.55012,                0.63651,                 0.4821,                  1.533,                 1.9878,                 1.3463,             1.2549e-05,             1.2549e-05,             1.2549e-05
                     17,                 1.4867,                 2.1892,                 1.8041,                0.84777,                0.55677,                0.63646,                0.47314,                 1.5262,                 2.0076,                 1.3454,             1.3008e-05,             1.3008e-05,             1.3008e-05
                     18,                  1.349,                 3.5863,                 1.6249,                0.84777,                0.55677,                0.63646,                0.47314,                 1.5262,                 2.0076,                 1.3454,             1.3421e-05,             1.3421e-05,             1.3421e-05
                     19,                0.82784,                 1.8418,                 1.2612,                0.82255,                0.56517,                0.60969,                 0.4619,                 1.5375,                 2.0883,                 1.3573,             1.3786e-05,             1.3786e-05,             1.3786e-05
                     20,                 1.1726,                  1.985,                 1.5351,                0.82255,                0.56517,                0.60969,                 0.4619,                 1.5375,                 2.0883,                 1.3573,             1.4104e-05,             1.4104e-05,             1.4104e-05
                     21,                 1.9806,                 5.3972,                 2.2625,                0.76817,                0.58333,                0.60896,                 0.4574,                 1.5837,                 2.1481,                 1.3729,             1.4375e-05,             1.4375e-05,             1.4375e-05
                     22,                0.99586,                 1.9406,                 1.2553,                0.76817,                0.58333,                0.60896,                 0.4574,                 1.5837,                 2.1481,                 1.3729,             1.4599e-05,             1.4599e-05,             1.4599e-05
                     23,                0.97107,                 2.3268,                 1.3729,                0.77374,                0.58333,                0.59339,                0.43893,                 1.6231,                 2.2072,                 1.3994,             1.4776e-05,             1.4776e-05,             1.4776e-05
                     24,                0.97233,                  2.041,                 1.2541,                0.77374,                0.58333,                0.59339,                0.43893,                 1.6231,                 2.2072,                 1.3994,             1.4906e-05,             1.4906e-05,             1.4906e-05
                     25,                 1.2244,                 2.4617,                 1.5078,                0.80077,                0.41667,                0.59332,                0.44075,                 1.6839,                 2.2688,                 1.4429,             1.4988e-05,             1.4988e-05,             1.4988e-05
                     26,                0.77764,                 1.8996,                 1.3008,                0.80077,                0.41667,                0.59332,                0.44075,                 1.6839,                 2.2688,                 1.4429,             1.5024e-05,             1.5024e-05,             1.5024e-05
                     27,                 1.0169,                 1.9447,                 1.3145,                0.94133,                0.38333,                0.59433,                0.43869,                 1.7011,                 2.3219,                 1.4675,             1.5012e-05,             1.5012e-05,             1.5012e-05
                     28,                 1.2503,                 2.4727,                 1.6004,                0.94133,                0.38333,                0.59433,                0.43869,                 1.7011,                 2.3219,                 1.4675,             1.4953e-05,             1.4953e-05,             1.4953e-05
                     29,                 1.0806,                 2.5572,                 1.3186,                0.94728,                0.38333,                0.58161,                0.41987,                 1.7536,                 2.3477,                  1.518,             1.4847e-05,             1.4847e-05,             1.4847e-05
                     30,                0.62161,                 1.3769,                 1.0489,                0.94728,                0.38333,                0.58161,                0.41987,                 1.7536,                 2.3477,                  1.518,             1.4694e-05,             1.4694e-05,             1.4694e-05
                     31,                0.94051,                 1.5157,                 1.2875,                0.95081,                0.38333,                 0.5758,                0.41839,                 1.7303,                 2.3691,                  1.528,             1.4494e-05,             1.4494e-05,             1.4494e-05
                     32,                0.87748,                 1.2192,                 1.1462,                0.95081,                0.38333,                 0.5758,                0.41839,                 1.7303,                 2.3691,                  1.528,             1.4247e-05,             1.4247e-05,             1.4247e-05
                     33,                0.69873,                 1.4686,                 1.1831,                0.94963,                0.38333,                0.57521,                0.41825,                 1.7209,                 2.4287,                 1.5476,             1.3953e-05,             1.3953e-05,             1.3953e-05
                     34,                0.73434,                 1.8814,                 1.3097,                0.94963,                0.38333,                0.57521,                0.41825,                 1.7209,                 2.4287,                 1.5476,             1.3611e-05,             1.3611e-05,             1.3611e-05
                     35,                 0.7954,                  1.972,                  1.179,                0.94996,                0.38333,                0.57888,                0.43615,                 1.7112,                 2.4509,                 1.5269,             1.3222e-05,             1.3222e-05,             1.3222e-05
                     36,                0.61587,                 1.3522,                 1.1047,                0.94996,                0.38333,                0.57888,                0.43615,                 1.7112,                 2.4509,                 1.5269,             1.2787e-05,             1.2787e-05,             1.2787e-05
                     37,                0.74733,                 1.5622,                 1.1242,                0.78102,                0.38333,                0.57478,                0.43457,                 1.6849,                 2.4531,                 1.5198,             1.2304e-05,             1.2304e-05,             1.2304e-05
                     38,                0.92312,                 2.1549,                 1.3595,                0.78102,                0.38333,                0.57478,                0.43457,                 1.6849,                 2.4531,                 1.5198,             1.1774e-05,             1.1774e-05,             1.1774e-05
                     39,                 1.5628,                 2.1665,                  1.869,                0.94793,                0.38333,                0.57678,                0.43474,                 1.7175,                 2.4952,                 1.5419,             1.1196e-05,             1.1196e-05,             1.1196e-05
                     40,                0.92843,                 1.6313,                 1.3304,                0.94793,                0.38333,                0.57678,                0.43474,                 1.7175,                 2.4952,                 1.5419,             1.0572e-05,             1.0572e-05,             1.0572e-05
                     41,                0.74756,                 1.1694,                 1.0684,                0.94742,                0.38333,                0.57995,                0.43598,                 1.7121,                 2.4738,                 1.5461,             9.9008e-06,             9.9008e-06,             9.9008e-06
                     42,                 0.6135,                0.77428,                0.98091,                0.94742,                0.38333,                0.57995,                0.43598,                 1.7121,                 2.4738,                 1.5461,             9.1823e-06,             9.1823e-06,             9.1823e-06
                     43,                0.70995,                 1.1107,                 1.0741,                0.94354,                0.38333,                0.58006,                0.43614,                 1.7408,                 2.5044,                  1.565,             8.4166e-06,             8.4166e-06,             8.4166e-06
                     44,                0.66394,                0.84354,                0.97154,                0.94354,                0.38333,                0.58006,                0.43614,                 1.7408,                 2.5044,                  1.565,             7.6039e-06,             7.6039e-06,             7.6039e-06
                     45,                0.81149,                 1.2756,                 1.1805,                0.93902,                0.38333,                 0.5811,                0.43637,                 1.7458,                 2.4788,                 1.5617,              6.744e-06,              6.744e-06,              6.744e-06
                     46,                0.90507,                 1.0212,                 1.1884,                0.93902,                0.38333,                 0.5811,                0.43637,                 1.7458,                 2.4788,                 1.5617,             5.8369e-06,             5.8369e-06,             5.8369e-06
                     47,                0.70042,                 1.2957,                  1.078,                0.92613,                0.38333,                0.57851,                0.43649,                 1.7666,                 2.5307,                 1.5815,             4.8828e-06,             4.8828e-06,             4.8828e-06
                     48,                0.68914,                0.90317,                 1.0539,                0.92613,                0.38333,                0.57851,                0.43649,                 1.7666,                 2.5307,                 1.5815,             3.8815e-06,             3.8815e-06,             3.8815e-06
                     49,                0.73585,                 1.0328,                 1.1684,                 0.9065,                0.38333,                0.57867,                0.43786,                 1.7465,                 2.4667,                 1.5609,             2.8332e-06,             2.8332e-06,             2.8332e-06
                     50,                0.61024,                 1.0703,                 1.0512,                 0.9065,                0.38333,                0.57867,                0.43786,                 1.7465,                 2.4667,                 1.5609,             1.7376e-06,             1.7376e-06,             1.7376e-06
